,,Accuracy (train set),std,Accuracy (test set)
Sex,head,0.925,0.030190368221227993,0.9625
Sex,thorax,0.8738461538461539,0.0361165474085313,0.9012345679012346
Males,head,0.7033333333333334,0.07445273585667093,0.9473684210526315
Males,thorax,0.73,0.09088046687412683,0.8648648648648649
Females,head,0.7946428571428572,0.05340582870513796,0.8260869565217391
Females,thorax,0.7491228070175439,0.06301152630199287,0.8732394366197183
